Id,Label,Candidate,Description,Category,Subcategory,Comment,Status,Priority
?,Unknown,,"Object of Unknown Nature","8. BLENDS, ERRORS, NOT WELL DEFINED OBJECTS","","",,
..1,,,"{pr*} Pre-Main Sequence Star ","1. TAXONOMY OF STARS","Young Stellar Objects (Pre-Main Sequence Stars)","= Y*O",old,
..10,,,"Barium Star","1. TAXONOMY OF STARS","Chemically Peculiar Stars","Check the SpT",old,
..11,,,"Dwarf Carbon Star","1. TAXONOMY OF STARS","Chemically Peculiar Stars","Maintype = Pe* and SpT like dC",old,
..12,,,"Carbon-Enhanced Metal Poor Star","1. TAXONOMY OF STARS","Chemically Peculiar Stars","Maintype = Pe* and SpT like CEMP",old,
..13,,,"{Al*} Eclipsing Binary of Algol type","1. TAXONOMY OF STARS","Interacting Binaries and close Common Proper Motion Systems","Check biblio or V* measurements",old,
..14,,,"{bL*}Eclipsing Binary of beta Lyr type","1. TAXONOMY OF STARS","Interacting Binaries and close Common Proper Motion Systems","Check biblio or V* measurements",old,
..15,,,"{WU*} Eclipsing Binary of W UMa type","1. TAXONOMY OF STARS","Interacting Binaries and close Common Proper Motion Systems","Check biblio or V* measurements",old,
..16,,,"{NL*} Nova-like Binary","1. TAXONOMY OF STARS","Interacting Binaries and close Common Proper Motion Systems","Check biblio or V* measurements",old,
..17,,,"{DN*} Dwarf Nova","1. TAXONOMY OF STARS","Interacting Binaries and close Common Proper Motion Systems","Check biblio or V* measurements",old,
..18,,,"{DQ*} CV of DQ Her type  Intermediate polar.","1. TAXONOMY OF STARS","Interacting Binaries and close Common Proper Motion Systems","Check biblio or V* measurements",old,
..19,,,"{AM*} CV of AM CVn type","1. TAXONOMY OF STARS","Interacting Binaries and close Common Proper Motion Systems","Check biblio or V* measurements",old,
..2,,,"LBV=Luminous Blue Variable","1. TAXONOMY OF STARS","Massive Stars and their Remnants","Maintype = s*b and SpT like LBV",old,
..20,,,"Irregular Variable with rapid variations","1. TAXONOMY OF STARS","Properties . variability. spectral. kinematic or environment","Check biblio or V* measurements",old,
